Index,Date,Title,Outlets,Country,NATO_url
7,22.04.2018,The White Helmets is an organisation that creates fakes and makes propaganda on behalf of jihadists and terrorists,"Voskresnoye Vremya @Channel One, 22:40",Syria,https://euvsdisinfo.eu/report/the-white-helmets-are-an-organisation-that-creates-fakes-and-makes-propaganda-on-behalf-of-jihadists-and-terrorists/
8,22.04.2018,New evidence that the chemical attack in Douma was a fake,"Pervyi Kanal (00:14), Rossiya 1",Syria,https://euvsdisinfo.eu/report/new-evidence-that-the-chemical-attack-in-douma-was-a-fake/
9,22.04.2018,12 snipers from Lithuania and Georgia arrived in Donbas,"NTV.ru, Vesti.ru","Ukraine, Lithuania",https://euvsdisinfo.eu/report/12-snipers-from-lithuania-and-georgia-arrived-in-donbas/
0,22.04.2018,New evidence has been found in Douma suggesting that the suspected chemical attack was staged,"Rossiya 1, 04:40","Russia, Syria",https://euvsdisinfo.eu/report/new-evidence-has-been-found-in-douma-suggesting-that-the-suspected-chemical-attack-was-staged-2/
1,21.04.2018,President Poroshenko proposes Crimeans be deprived of Ukrainian citizenship,RT (Russia Today),"Russia, Ukraine",https://euvsdisinfo.eu/report/president-poroshenko-proposes-crimeans-be-deprived-of-ukrainian-citizenship/
2,21.04.2018,Ukraine recognizes it cannot return Crimea,Novorossinform,"Russia, Ukraine",https://euvsdisinfo.eu/report/ukraine-recognizes-it-cannot-return-crimea/
3,19.04.2018,"For 235 years, Crimea is Russia's",http://newsland.com/community/5101/content/235-let-krym-nash/6305808,"Russia, Ukraine",https://euvsdisinfo.eu/report/for-235-years-crimea-is-russias/
4,19.04.2018,Only fake evidence of a chemical attack in Douma,Mid.ru,Syria,https://euvsdisinfo.eu/report/only-fake-evidence-of-a-chemical-attack-in-douma/
5,18.04.2018,No trace of chemical attack in Douma,Bal-Rad,"Russia, Syria",https://euvsdisinfo.eu/report/no-trace-of-chemical-attack-in-douma/
6,18.04.2018,"Novichok, which poisoned Sergey Skripal and his daughter Julia, was produced and patented in the US",http://ac24.cz,"UK, US",https://euvsdisinfo.eu/report/novichok-which-poisoned-sergey-skripal-and-his-daughter-julia-was-produced-and-patented-in-the-us/
7,18.04.2018,Incest is legal in Norway,TV Objektivi,"Norway, Georgia",https://euvsdisinfo.eu/report/incest-is-legal-in-norway/
